"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@lucitanialeal9147","@lucitanialeal9147","Gracias por ir, ver, oír y oler por nosotros.  Es digno de admiración y respeto todo el esfuerzo para hacer este contenido en particular.
Gracias, muchas gracias.
Yo también me llevo  aprendizaje.","16","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@monicahuanca3540","@monicahuanca3540","Juan , que bárbaro esto!!! Me imagino lo que te costó respirar ahí,mira todo lo que haces por mostrarnos la historia gracias Juan,!!! 🇦🇷🩵chaooooli 👋💌","38","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@marilinamosqueda3711","@marilinamosqueda3711","Querido Juan, que trabajo! Que duro, que basto es el mundo para que todos podamos convivir ante tanta creencia, religión y costumbres. Gracias por mostrar un tema tan fuerte, tan real, tan arraigado. Increíble! Cuídate mucho que queremos Juan para rato. Abrazo!","18","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@yolandaotavo303","@yolandaotavo303","Es nivel Dios!!!
Interesante el desapego y como aceptan la muerte 
No tengo palabras 
Es diferente ser pobre a ser tan pero tan sucio!!
Es impresionante 
La verdad vivimos en un paraíso 
Uno se hace su ambiente 
Pero allá es otro nivel 
Gracias Juan por exponerse y mostrar la diversidad de culturas ❤","3","0","18 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@maritzasuarez1573","@maritzasuarez1573","Yo soy cubana, y por mucha miseria o necesidades q tenemos en nuestro país, jamás un cubano se metería en esas aguas, admiro tu valentía en enfrentarte a tantas epidemias, recuerdo cuando estuviste en Cuba y el maravilloso trabajo q hiciste en tus videos mostrando muchas verdades de aquí, bendiciones","2","1","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@mercyrodriguez3881","@mercyrodriguez3881","Aquí es donde agradecemos haber nacido en esta parte del mundo, mi Colombia querida 
Gracias Juan por llevarnos a esas culturas tan locas 😊","15","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@patriciaromero5237","@patriciaromero5237","Que valiente eres Juan, tienes razón al decir que no es para todo el mundo, la verdad yo no iría; el solo pensar en que sin zapatos tendría que caminar pisando cenizas y lugares donde colocan cadáveres, mojarme con agua donde sumergieron cadáveres, nooo gracias , no voy ahí. Gracias por este video, tus experiencias al extremo...","15","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Ika.2104","@Ika.2104","Mis respetos, creo que adquiriste muy buenas defensas en ese viaje. Estos videos son capaces de transmitir la sensación de  olores y tacto al pisar aguas como la de ese río y en esas condiciones. Creo que el templo de las ratas era pulcro al lado de este río. Gracias por mostrar tu experiencia con el respeto propio que siempre tienes.","17","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@SkynetTabManu","@SkynetTabManu","El máximo triunfo de la romantizacion de la pobreza y la insalubridad, lograda por medio de la herramienta de control más poderosa de todas la r3ligi0n","8","2","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Letiquinn","@Letiquinn","Estaba esperando tu video en Varanasi!! Yo estuve ahí hace unos años, y fue muy especial. Creo que por la energía que tiene, tuve pesadillas todos los días que estuve! Coincido que no es para cualquiera, a mi me encantó haber conocido India y que me haya revolucionado la cabeza! Excelentes videos, saludos desde Argentina!","2","0","1 day ago (edited)",""
